#token    category
I think I had better be where other people are not . ...    trifle
I should get a facial - must . find . time    goods
I need to download a really simple free calculator for osx . I dont like using the one in the dashboard . Any suggestions ?    goods
I would love not to sick anymore .    trifle
I really need these next 2 days to blow by quick .    trifle
i am going to ride my BIKE !!!! hahahaha    event
I really did intend on going out tonight . but I'm getting stuff done . Will socialize tomorrow brunch with Kaptin Kirk .    event
I wanna watch The Proposal today !    trifle
I think i just wrote my first sketch ! going to film it this weekend . It's gonna be EPIC lolz ! .. All inspired by the stupid Snuggie blanket !    non-intent
I read you can help the planet by eating vegetarian meals each week . I must say , I do not eat red meat , no steak or hamburger-love salads    non-intent
I really hate myself right now .    trifle
I really want to go to transylvania .    travel
I just tried to file sales tax with the Ohio government , only to realize that my sales taxes aren't due until next month . Joy of joys !    trifle
I just saw a showing of the 2008 " Last Night of the Proms " at the cinema . I absolutely love Helene Grimaud . Wish I could have seen it live .    event
I want a bacon sandwich . And joy of joys , I can has bacon sandwich ! If I can be arsed to go make it .    food
I need socks !! Ahh !!    goods
I hate cable tv . I need to visit another city ; Jacksonville you're boring me .    travel
i want to buy chameleon circuit .    goods
I need a jrock concert ... a free one -poor and upset-    event
I could you in my arms , i could hold you forever    non-intent
I only need $60 until I can pay for my $800 trip ! Then , the rest of the money I get , I get to spend it on myself !!!!!!!!!!!!!!!!!!!!!!!!!    non-intent
I wanna see " The Collector " movie that comes out tomorrow .    event
I gonna the East coast & take a summer holiday during 07/31 ~ 08/2 . HaHa ... It has been a very long time before i had have last one .    travel
I need a real job lol i miss it ...... i do a whole lotta nothing all day or maybe i should go back to school yea sounds good    career
I so want to read LaBamba's romance novel . #conan    event
I think I just hate waiting . Ok I'm hungry . What's for lunch today ?    food
I think i wanna have Taylor Swift's babies ... weird    trifle
i will never stay up this late again ...    non-intent
I really am awful at sexual innuendo . fuck it .    non-intent
I may have to use the new desktop . The horror of it !!    goods
I am a very athletic , outgoing , and funny person . I love to cook and play sports .    event
I really wish Angel would wear some clothes . it's just not nice . #bb10    goods
I go to the cinema with my dad . I think it's so much fun .    event
I must be in a strangely good mood . Almost nothing is irritating me today . Maybe I should extend the olive branch before I change my mind .    trifle
I think I am going to give some makeup away haha I really need to organize .. ughh    trifle
I Want SNK vs CAPCOM 3 !! is the best fight game ever !!!    goods
I wanna visit Australia lol    travel
I get to be in a story with a hot girl . Life's going good haha . So bored tho . -Anthony    non-intent
I think i'm going to have a cheese and red onion sandwich    food
I need a nap . Being home is exhausting .    trifle
I want pudding and mac and cheese and stuff    food
I hate it when it cuts me off . And a tan . That's what I meant to say .    non-intent
I am getting hungry ! Maybe I should have greek food for lunch ?    food
I NEED A NEW POST ! ( alan , this one's for you )    goods
I am so hungry i could eat a cow right now . Which is why i just ordered a cheese burger . I need to get it together    food
I will forever miss you Michael .!!! You was the best at everything you did , I will never forget you .    non-intent
I guess I need a trip . A business one .    travel
I bet you cant guess where I am ...!!!!!!    non-intent
I want so many paintings and such from Urban Outfitters . Its STOOOPID    goods
I should probably get up , errands to run & Starbucks to be had !    trifle
i just need to breathe i guess . don't be passionate .    trifle
I want a frapuccino sooo bad !... Wait noooo ... what about ice cream , strawberry ice cream ! yummi ! =D    food
I should make coffee before someone else tries to do it and screws it up .    food
I want to go back to college but can't decide what I want to be when I grow up . I hate life altering decisions    career
I think I am eating the WORST granola bar ever lmao    food
I need more than a diuretic for this edema . Checking to see if there is an appropriate shop-vac attachment that might handle it .    goods
I NEED A SHORT HAIRCUT !!! Mrs Hairstylist is not free today .    goods
I need to go to the beach or something . GET AWAY from here ;) TIME FOR SOME SHOPPING , then we'll hit the beach , kayyy ? =]    travel
I drunk as fuck ... and I have to hike up Castle Crags tomorrow ....... shit    event
I don't know what I have to do ...    non-intent
I think I know exactly what to do .    non-intent
I hate not knowing what I want to do with my life . I've been second guessing myself a lot lately .    non-intent
I love to watch Barbara run a committee meeting    event
I got to catch up with one of my good friends i hadnt seen in a long time cause she is a counselor at twin lakes ! I <3 her SO MUCH !!    trifle
i seriously need to get a new job , my skills are being wasted here    career
I MISS MY BESTIE !!!! so boring this summer , i havent saw her once ! oh no , i am a loner ! xD    non-intent
I think I'm gonna go biking ... yeah . I think a bike ride sounds good .    event
I have to pee , just thought everyone wanted to know . ;]    trifle
i am trying to be hopeful about iran election or am i feeding on it somehow . my iranian brothers and sisters ? our hearts are connected now .    non-intent
i meant to say she did it during the newsboys concert also    non-intent
i will never get used to this heat and humidity . i have lived here my whole life and it never gets better    non-intent
I have to say today was a good day    non-intent
I have to get my car inspected today ! I'm hoping it won't take too long this time ! I got to be the first one there !!!!    goods
I should be so lucky , lucky , lucky , lucky i should be so lucky in love * sing *    trifle
i really wanna squeeze in another song for the concert , 1 doesnt seem enough =/    event
I want a macbook so bad ... Why do they have to be so prohibitively expensive ?    goods
I want a chocolate sundae !!! Now .    food
I definitely neeed to straighten my hair , tan , watch entourage & maybe buy some perfume tmr    goods
I really think he was serious , wow I was nice to him when everyone else was not . I did nothing to him . I cant believe he deleted me fuck him    non-intent
I get to make the future what I want to    non-intent
I think I should just run away and join the circus . Is that still possible these days ?    career
i want to watch the soccer ! gah , stupid people .    event
I realize . . That over the years . . My heart has become kinder . . More gentle . . I guess thats what i need to be what i want to be . ...    non-intent
I really wnat to go swimming . . . my 8 Ball says outlook not good though    event
I need a nice long trip to the US ..    travel
I must say , there's nothing like cooking dinner when you have been on a liquid diet for 4 days ! LOL    non-intent
I need a vacation out of the country ... bad .    travel
I just wanna be your hoochie coochie man .    trifle
I really hope I can keep my temper today and not blow up on some line cooks . Oh and I have an interview Monday with mcalisters .    trifle
I would rather spend 1000 years kept alive by dark magic as Piers Morgan's gimp , than get the night bus again .    trifle
I hope I get a toy with my kids meal .    goods
I want to try out Push Notification on my iPhone my none of my apps support it ! Hurry up Tweetie !    trifle
I think ima buy a blender ...    goods
I really really want a sundae with extra chocolate ......    food
I want a really yummy GREEN salad for dinner . Any suggestions ?    food
I wanna eat sushi ;)    food
I need a nap .. badly ... might even blow off kendo tonight ..    trifle
I should be a lawyer , lol , not responsible !!!!!    career
I just missed Victorino's home run so I could eat a delicious cookie .    food
I need a job and a carrrr .    career
I think I will mow the lawn now !    trifle
I Want Starbucks Gosh    food
I think I have a problem with naps . Oh well , time to go to work .    trifle
I think Cam and I will bake tonight .... maybe .... maaaaybe .    food
i want to buy a keytar . does anyone know where I can buy one ?    goods
I want a mini buffalo ranch chicken sandwich ! ahaha & than do the dance after I eat them ;D    food
I had my interview and it was great . I did great . They liked me and I liked them . I hope to have some offer soon .    career
I hope you all are having a great day    trifle
I need a plain ticket to LA !    travel
I think I might make the switch to iPod once I win one in a contest or drawing of some sort .    goods
I NEED 2 GET MONEY 3 MORE YEARS TILL THE NBA ... LOL YOUNG KOBE BABA    event
I need a break , please take me to Paris !    travel
I need to meet friend    trifle
I think I want to go to Dj Quik's show ...    event
I think i broke my finger    non-intent
I totally am loving some greenlife coffee right now .    travel
i would update this , but the sunday morning meowing really exhausted my strength .    non-intent
I think I just forgot I need to breathe to stay alive .    non-intent
I need a job ! Who's hiring ?! Please RT !!    career
I can now tweet from my mobile , i think i may be behind the times    non-intent
I need to get out the house ...    trifle
I keep praying that I will have a job offer soon . I really want my " big kid " job and very soon !    career
I really need to clean my closet when I get home I tore it up this getting ready    trifle
I totally love them as much as i love tony hawk !    non-intent
I just don't know what to say ... mixed emotions about the ART and the ARTIST    non-intent
I seriously want to go back to Singapore !!!    travel
I must be more motivated . urrr ..    career
I just want to make some banana pancakes with you    food
I WANT THAT KOBE PUPPET !    goods
I need coffee like now . Havent slept in the longest time . I have to keep walking or i'll pass out    food
I am the same . I know well what I have to do now , but I won't do anything . Move now .. Move ..    non-intent
I totally want to go see " Year One "    event
I am going to the beach this weekend , says no rain expected , yay !    travel
I need to keep up with this whole soccer thing .    event
I wanna start a yoga class    event
I really just seen 4 raccoons chillin on the corner . 1 on the curb n 3 inside the gutter . Wats wit these raccoons ! I seen like 10 this week !    non-intent
I wanna go to the movies or ihop tonight !!    event
I really am trying to get better at skating . It's a work in progress .    event
I gotta let her meet my mum - and I think I gotta superstar lady , oh yeah ( 8 )    trifle
I loveeeeeeeEEEEE Australia . I don't want to go back to the ships I just want to stay here .    travel
I should probably leave work before the base blows up .    trifle
I should have kissed you when i had a chance .    trifle
I can tell you a few things about not having health care , you do not get it . And I think you never will . Coming to Elkhart is a noble idea .    non-intent
I am about to shoot the tv . Cricket driving me nuts .    non-intent
I need to work on my page more than my work page .    career
I am going to fly my kite    event
I need to go buy a lottery ticket , my right palm is itchin like anything    goods
I want to live in a flat with a cool roommate .    goods
I think i want to move to Colorado . It seems nice and cold there .    travel
I wanna Be In Love ............. I'm Ready .    trifle
I have watched all 4 so far alex . Awesome show sort of like the old show friday the 13th the series . I think you will dig it !    non-intent
I need a shower . My hair is looking like Kristen Stewarts grease ball hair , yuck !    trifle
I hate it when chicks run their mouth about what I have , I go to work everyday and I have a degree , so that should equal the life of pleasure    non-intent
I wanna go skating now !    event
I have to clean my room . -.-' Puh .    trifle
I was tryna take a pic ... but she wouldn't stop 4 me .... LOL !    event
I am trying to connect to RC but to no avail . Shit the stupid connection !    trifle
I can barely understand it too and I haven't gotten an email    non-intent
I think I got this now !!!!    non-intent
I wish I could tell u what I just did ... but I can't . Goes in the vault forever . LOL I'm a loser    non-intent
I could eat salad every single day in the summertime and be happy . Love it !! Mmmm and an iced-tea would be nice too .    food
i just want to cry . =,(    trifle
I need a local news app for blackberry ... help , anyone ?    goods
i need gift for my brother #squarespace    goods
I need a job !!!!! anything in travel industry ... please .    career
I really wish Sarah would give me another chance    trifle
I think I am going to need a second job . WalMart is hiring and I've always wanted to be a greeter ! How much stress could that be ?    career
I realli hope I get this job tomorrow    career
I WANT TO KNOW WHO THIS NIGGA THINK HE IS .... WTF .... DONT YOU HAVE A BITCH !    non-intent
i need me some new music damn !    event
I have to take a shower and than I'm gonna read my book and twitter at the same time . Bye xxx    trifle
I want to encourage everyone to appreciate and to thank your Dad today while you still have them to appreciate .    trifle
i must be going crazy    non-intent
I am going to holiday with my bff    travel
I go to the cinema to see UP with Cristy and Jimena    event
I think I will finally make my way to that spa !!! I aint gone lie I wanna b like REVRUN wit my IPhone    goods
I wanna go the gym but I don't have time ! any suggestions to do cardio ( no jogging )    event
I know that I should say Goodbye . But it's no use I can't be with or without you    trifle
I just ate a tuna sandwich for the first time in 8 years . I think I remember why it's been 8 years now ...    food
I really wanna cry right now .. sad day ... R.I.P. MJ    trifle
I really want to know what's going on in Iran    trifle
I think I'm going to the RLB beach with the bff , I haven't been there in years .    travel
I wanted to kick earth in its vagina today . I lost .    trifle
I am working on a GTAIV PC machinima series . Not saying what it's about , or the title . Though I must say I got a great soundtrack !    non-intent
i need to get a livelavalive tshirt !    goods
I must say Rihanna was fly as ever in court today ... thats right show him what he is missing ! Chick plays no games !!    non-intent
I am trying to be productive but it just isn't working ... i'm not motivated .    career
I really wanna see 17 again . Fml    event
I think i have the manliest vehicle in the kohls employee parking with the colorado    non-intent
I love mango so much I could marry it !    trifle
i wanna be famous i wanna be a star    career
I wanna get tickets to the Wendy Williams show ! How you doooooin !     event
I think I want to bake a cake today .    food
I think I just died and went to heaven    trifle
I do what I want when I want . I live in the style that suits me . I know the best streets and cheap eats . Cheap sex and cheap booze . No blues    non-intent
I have been awake since 5.45 . I may actually be dead .    trifle
I need more friends , add me !!! ;D    trifle
I have been wanting to go on another week long backpacking trip , does anyone have any good recommendations on a good pack ?    travel
I think you and the american and world news media better start shining a big light on Iran ! IMAGINE if the USA had had an 85 percent t ...    trifle
I think I may have more fruit in my porridge than oats .    food
I really want to be at the American Idol concert seeing Kris Allen , instead of being stuck in this hotel room .    event
I totally & accidentally just flashed a line of customers    trifle
I think I wanna bake some cookies ...... but I can't decide if I wanna make choc . chip or sugar ........    food
I promised HBO and Bryant Gumbel that I would review tonight's Real Sports . It will have to wait until tomorrow .    event
I wanna sundae who gonna offer me/ I give u a dollar and kissed if u are a miss ?    food
I really really really neeed a job . =|    career
I need a new Gaga album YESTERDAY . I love that bitch .    goods
i want a job so bad !    career
I think im gonna dye my hair black again    goods
I really need the Chocolate Kiss treat - I am soooo stresssed !    food
I remember last July I went to an OUTDOOR Jonas Brothers concert . I live in Arizona , there was tons of girl so you couldn't breathe .    event
I need a nap in my life    trifle
i wanna say the voice of the person that just called me sounded very familiar but i just cant put my finger on it fuck who R U    trifle
I should know by now NOT to leave the house without an umbrella .... grrr    non-intent
I have to wait around a fucking ship to travel in Star Ocean . The future of gaming is here .    travel
I really fancy seeing ' the story of anvil ' it looks like a film similar to spinal tap . Might see it one day .    non-intent
I swear i forget i have twitter . Ha ! WAY TO HOT TODAY !    non-intent
I need to make a point of visiting Taipei more often . Good food , good people , beautiful women . What's not to like ?    travel
i think i have tested all twitter apps with multiple account support . thinking of settling on tweetie .    event
i just wanna say go f*ck yourself to the entire Pittsburgh organization and every last fan ... sooooo go f*ck yourself    non-intent
I think it's time to wake up and face reality .    trifle
I havent updated this in forevet    non-intent
I really deserve a Mac - really #MPORA    goods
I might go for a run . Might . kthxbye !    event
i need mre excitement in my life , meet new ppl do thingz that make me say wow dat shit iz cray    trifle
I wanted to participate in Teuk's birthday project but I'm to lazy to make a birthday card for him .. -__-" ERAA HWAITING ! For Teuk <3 I will !    non-intent
I just made my mom ask me if I'm scared like edward just so I could say no .    non-intent
I need to watch Best in Show asap !    event
i think i piss my pants everytime i hear she's like the wind on the radio . it will never get old ~    non-intent
I wanna learn capoeira before I goto brazil    career
I need to find a job and clean my desk .    career
I hate country music ! But i will listen to it if Chris is around . He loves it .    non-intent
I really want to go to London now !    travel
i need a new phone . and a new life . and a new .. <3    goods
I know I'm late on my tweets , UGH I need an Iphone baddly    goods
i think imma surprise ya wit my hair and do it a lil different    non-intent
I want nobody , nobody but you .    trifle
i want to buy more beads    goods
I think I'm gonna have a shower now .    trifle
I wanna go Amsterdam .............. Who's with me ?    travel
I really like " simply Orange " Orange juice ... it may cost like 6 bucks a gallon but I prefer taste over value .    food
I think I just took a yoga class with a TN Titan . His thigh was bigger than my torso .    event
I would just like to say that girl is like a sunburn .    non-intent
I am not a fan of this thunder thing . Damn , I will CRY if we lose power .    trifle
I wanna have a tea party with Giles .    event
I want move to vallejo or richmond    travel
I am so hungrryyyyyy ! I need somewhere delicious . that's fast . and chipotle is a no-go .    food
I need to stop social-networking and shower . 17thhhhhhh Floor tonight at the BoCo ! And the new iPhone update is sunshine in a bag .    trifle
I really need to GET A LIFE !!!    trifle
I know you cant give me what I need .. and even thought you mean so much to me I cant wait through everything ...    non-intent
I really do not like Follow Fridays .    trifle
I want to get a discman .    goods
i still wanna have an ipod touch ! i've got the money but my olod ipod still works -.-    goods
I should be going to the doctor today for my hip    goods
I need an adventure , a distraction , a change of scenery . Thanks .    travel
I gotta get out of here , and do something or I am going to go crazy . So bored !    trifle
I want some collard greens and mac & cheese . Those two dishes make up one of my favorite combo's .    food
I really need to go shopping ; I want some new clothes .    goods
I love how i went to my sisters house to HELP her pack and just ended up packing everything myself lol ..... pregnant women ! spoiled !    non-intent
I just made myself a sandwich and it was REALLY good . I usually suck at making them .    food
I want a chocolate Frappuccino of Starbucks !    food
I need something to do it's so boring here I wish this headache would go away    trifle
I want to be a fisherman on Deadliest Catch , but from the safety of my couch in Franklin , Tn .    career
I will love you . Till the day they burn my body I will love you .    trifle
I could be being more productive right now #imjustsayin    career
I need the Canon Rebel . That's right , I need .    goods
I HAVE TO GO NOW ! TOMORROW I AM BACK ! xoxoxox    trifle
I talked to a friend today . They can get me FREE tickets to the EAA Airshow in Oshkosh next year . I just need to reminder her .    trifle
i really want a trampoline    goods
I gonna passed the year yaaaaaay !    non-intent
I hate school cuz all I wanna do is snack & eat munchies !! Chocolate always sounds yummies !    food
I need a new coffee machine . One that I don't have to wait for . One that makes coffee instantly & then brings me a cup before I wake up .    food
I just cruised the south Caribbean islands for my 33rd birthday ! Amazing , but I must say Cayman Islands has the BEST Beachs in the Caribbean    non-intent
I WILL WIN YOU IN THE GAGA TAP TAP . Goodnight world    trifle
I WANNA GO TO VEGAS AGAIN .... THATS GONNA BE TRIP #4    travel
i will only reveal this idea to the world if i am able to realize it . so , anybody sponsoring it ? it'll help the world , thats for sure    non-intent
i want to play in the rain now =]    event
I just want to be left alone . Is that too much of a problem ?    trifle
I need two well-behaved , smart dogs , not just one .    goods
I actually tried to learn some Arabic before I went to Egypt last year . That is one hard language .    travel
I should be a fortuneteller , work was even slower then the other night .    career
i wish i could fuck every girl in the world .    trifle
i might get braces again ? wow ..    goods
I meant to say I don't understand ... you talked to him for a week ... its not like u were with him in a committed relationship    non-intent
i really don't like this sticky heat !!    non-intent
I wanna get you a black cobra . Just to go around the neck .    goods
i need some music views ! check the page . www.myspace.com/lytestatus    event
I really want strawberry milk    food
I really hate girls sometimes .. Especially the girls in the row in front of us .    trifle
I think I need to take a nap . on lunch about to nap at my desk . got my at lunch sign up and everything .    trifle
I need to purchase our HP tickets for IMAX to see the day we return home . * sigh * I really wish I didn't have to leave here , I'm so happy    event
I got a hero sandwich for lunch , and its extra BIG . I should probably share it .    food
I think I forgot my password and then I got annoyed when twitter took 100+ of my followers ... damned bots ..    non-intent
I met them at the job ( the soccer game between FC Bordeaux and the Montréal Impact ) , I forgot to mention that !    non-intent
I really want to see Brüno . the clips I've seen are soooo funny . I just love stuff like this . Am I bad ?    event
I have to go to the doctor soon ; my headaches keep getting worse .    goods
I really hate my life .    trifle
I never realized how cluttered my room was . I need a real dresser .    goods
I need to stop remembering things that make me sad .    trifle
I need my hair done .. who wants to do it for me .. ill pay u    goods
I wonder if I can purchase a bottle of the Pine Tree Perfume at Dillards . Maybe I should just swipe some from the next cab driver .    goods
I did what i could do . I did my part .    non-intent
I hope you remembered to wipe your ass after you shit on me ......    non-intent
i wanna do a skype call , im bored to the maxxxx    event
I hope the rain stops before 2nite . It's my bday wknd and I wanna paaaaaaaaaartay !    trifle
I just realised that the bold has wifi connection as well as GPRS so I should be able to get the net in at least some place in america !    non-intent
I took a 12 mile walk today with a friend , boy that was fantastic . Now I will have a shot of my fruit drink .    food
I would love to be at a beach with 90+ degree weather with a margarita in hand .    travel
I like to brush my teeth ! Hahaa    trifle
I have Shortbread , fruit juice ( wine seemed too heavy ) and a word document . I am going to write !    food
I should have mentioned that I definitely need espresso before attempting .    non-intent
I want a car like the Ford in Death Race .    goods
i may be auditioning for a commercial in NY , this is pretty cool news !! on top of getting to drink for $500    non-intent
i got to plant sunflowers !!! #farmtown    trifle
i need some gym in my life !    event
I wanna be a Twitter celebrity with a huge followers list .    career
I think I've made a decision , although I could and prolly will change my mind again . Hmmmmm .    trifle
I think I am going to the New York Deli too often . I'll soon be fat .    non-intent
i must agree with the bf , the denzel movie was tight    non-intent
I want NAFA to update our tournament points . They are so far behind in scoring the tournaments .    event
I want a Cherry Soft-Candy they´re jsut delicious ....    food
I go to the cinema ! Harry Potter ! Haha = ]    event
I need a cigarette after that performance .    goods
I wanna give Hurley a big ol ' hug !    trifle
I need to really clean my room ..    trifle
I really miss your blueberry pancakes ...    food
I wanna get on the bike and ride . I just have no place to go . Nights still young I guess    travel
i wanna go to ellen's show . i think we'd be fast friends .    event
I want to fly my kite , play baseball , and have a water balloon fight .    event
I wanna be outta this shitty depressing mood . I need taylor and madi ...    trifle
I AM GOING TO PARIS , FRANCE IN NOVEMBER !!!    travel
I want a pair of cool 1970s glasses .    goods
I have the best husband . I really do .    non-intent
I know I must really be hungry eating kitkats , peanuts , and chicken with my $1 Tropicanna Tropical Fruit Punch juice that I love ...    food
I need to find a job that pays decent so i can afford my own place .    career
I hope I get my passport back in time so I can go to GREECE !!! =)    travel
I need a jobb ughhhhhh .    career
I wanna go to japan .    travel
I am so bored . I am ready for another road trip . I want to visit Florida , South Beach . There is so much fun to be had there .    travel
I think you know where you belong , i think you know its with me    non-intent
I might like him but i cant cuz i'm too cold/his tickets look fake , i'm just not quite sold ... haha u get it ?    non-intent
I have to go to New Braunfels this weekend for the services .    travel
I need to start going back to the gym , I REALLY need to get a routine of some sorts for day to day I'm entirely to lazy at times    event
i could run through the sprinkler on our front lawn in summer    event
I mainly bought it to keep cool this summer & keep me from being lazy ! I tend to be a hermit in my apartment ! but it will get worse if i -    non-intent
I think i just broke my little toe on kate's trunk . Seriously , i cant move it and i heard a crack ! Lol    non-intent
I want to kiss a girl and it mean something !!    trifle
I really think I am so athletic ... though I never did much but play volleyball and run track ... hmmmm .    event
I need to get some stuff in order .    goods
I can't lie , I must be missing something - this doesn't seem like a very interesting site ...    trifle
I hate to RT a RT , but in case you missed it - I think you should check it out .    non-intent
I WANT TO DO SOMETHING !!! XD    trifle
I want my new phone already . My blackberry is seriously on it's last legs .    goods
I can totally relate to their lyrics , will u teach them to me ?    non-intent
I think i want to go to Ocean City with him ! lay on the beach and escape this dirty stressful city !    travel
I come to this restaurant very often I know one of the staff is on her maternal leave without having to ask .    non-intent
I want to go visit the conference but didnt look up directions ...    trifle
I TOTALLY forgot family guy makes fun of catherine zeta-jones . i just about died .    non-intent
I drink and all I want is Nachoes .... om nom nom ...    trifle
i like to have the time i lost and give it back to you ..    non-intent
i need to wash and deep condition my hair before church    goods
I think I get too excited when the werewolves are violent ...    non-intent
I really need to learn to golf .    event
I almost spun out on the freeway on the way home from Compton , I gotta realize that I don't drive an Audi S4 anymore .    non-intent
I want your penis in my mouth !    trifle
I really want a cheese burger    food
I want a sandwich . A DELICIOUS sandwich .    food
I want britney spears tickets    goods
I only want to go home !!!    trifle
I really wanna be able to go to the movies tomorrow ... ughhh    event
I don't know what I want for dinner but I love the urbanspoon app for iPhone !    non-intent
I want chinese buffet for lunch .    food
I wanna go to the spa . Do you wanna come with ??    goods
I want Indian food . Anybody else ?    food
I totally don't want to be here ..    non-intent
I am sooooooooo hungry ... maybe I should go eat ?????    food
I wanted to see Michael Jackson on his tour too ..    event
I need to go fishing !    event
I so want to watch Lady Gaga's concert !    event
I need do clean up my room . someone around ?    trifle
I love life ! I get to talk to interesting people and I love that !    non-intent
I am going to take a nape    trifle
I think I can safely say that this is one of the worst days of my life .    non-intent
I believe I can still know them !    non-intent
i really need a coconut iced coffee , skim milk and 2 splenda ! anyone care to bring me one ?! i didn't get a break today i neeeed one lol    goods
I WANT TO WATCH VAN GOGH IN IMAX !    event
I think that I am going to make a YouTube video . Well I will once I get home from the grocery store .    event
I want to watch Get Smart but I do NOT want to watch Anne Hatheway .    event
I wanna go to Barnes and Noble , i wana just chill there and read books someone accompany me hahaha    event
I owe you a love song . So much I could say .    non-intent
I need crunchy Hot Cheetos and chewy chocolate chip cookies !!! And a glass of milk !!    food
I really am gonna miss them . I think i'm about to cry . I hope to see you at the finish line .    trifle
I wish i could pick elevator music . I would make everyone rock out    event
I need a shot of ambition .    career
i really don't get you , twitter . You are more annoying than i thought .    non-intent
I wanna go to Egypt .... and I will    travel
I really want to play What Did I Do To Your Heart ( JB ) , this song is so ... Country . - I think I'm gonna post something in the blog .    event
I think I am the only freak who likes vinegar on fried or poached eggs .    non-intent
I really love Underoath , i've come to that conclusion .    non-intent
I think I have written about China at least four times in the last week . That's kind of a lot , considering .    non-intent
I gotta stop doing evrythin else I'm doing & start doin what I NEED to do ... my research paper !    non-intent
I had 2 girls getting them ready for a skating comp at 3 am    event
I need another vacation after the travel day from HELL . Stuck in Chicago overnight where I was re-routed from the UK !!! NIGHTMARE !    travel
I think I might go bowling and to a midnight cruise tonight ... sounds like fun .    event
I shall stab you all with orange peels , and make orange juice .    food
I need a drink . Any suggestions ? What's your favorite combo ??    food
I think I know where you belong , I think I know , Its with me ♥    non-intent
I just wanna be with u    trifle
I may get to go to a baseball game tonight .    event
i wanna go see Transformers 2 . so far I heard its good but long !! hmm    event
I like to go to Madrid ... and see my girlfriend I missed her !    travel
I HAVE A MIGRAIN AND I AM TRYING TO GET THINGS DONE !!!!!!!    trifle
i need drugs . head still pounding .    goods
I think now is the time to boycott something . And I already know what I want to boycott ...    non-intent
I think I just saw tucker max in boston    non-intent
I think I'm gonna go watch Sweeny Todd ... and actually be able to watch it .    event
I need to build up my endurance . I get winded too easily    trifle
I swear if she wasn't a girl I would knock this chick flat on her back .    non-intent
I hope you guys like the profile    trifle
I need a pedicure and to go shopping ... this girl is in need of girl time .    goods
I need to get in the gym ... Now ! I'm thinking about 4 strips of bacon !    event
I think I will get a haircut at the Wynn while I'm here . A little spendy but you also get a day pass to the gym , spa and spa lounge .    goods
I need to go to Vegas . Now .    travel
I really miss my best friend right now . Which I accidentally typed as " beast " friend , the first time . Not sure what that means .    trifle
I love the hair gurl , i mean i really love the hair gurl . you hair looks really good gurl . how do you get your hair like that gurl ? your hair    goods
i am trying to do nothing its pretty hard you would be suprised    non-intent
I want a good life with a nose for things , the fresh wind and bright sky to enjoy my suffering    trifle
I need a camera . I'm liking the way i look right now . It's photo-worthy . XD    goods
i think i need a nap - i for got i had an appointment schedule until he called and said he was here - oopsie good thing i get ready fast !    trifle
I can't believe I just had to say " Keep your snot to yourself . That's disgusting . " #icantbelievethisisparenting #fb    non-intent
I may have just booked two new photog gigs !    event
I could go for some mashed potatoes be gravy , mac n cheese , and fried chicken . Yum !    food
I want wild animals .    goods
I just don't understand how someone can be comfortable stealing other people's money ...    non-intent
I must be hungry ... I bought iced coffee , a bagel , raisins and nuts , fruit juice , a granola bar ...    food
I might go to Elvis Crespo's concert today anyone want to go ??    event
I need to get out off of here and go get everything 4 dinner we r havin Spaghetti with salad and garlic bread and I am going to bake a cake    food
I wonder if I can punch Alexi Lalas through my TV . Because I really want to . #espn #confed #usmnt    non-intent
I wana go to Vegas in just get trashed this weekend .    travel
I may have been a rapper in my past life .    non-intent
I need to make new memories . Solo trip 2 Italy as soon as possible , yo !    travel
I wanna slap you with ky    trifle
I remember John Legends album like an old boyfriend , I swear I was having a love affair with that album , 4got about it for a second    non-intent
I have a visual credit check with my parents so WHY did I lend them money . I havent seen the $150 since i lent the money 2 weeks ago    non-intent
I need to get up so I can make breakfast do laundry and clean up ..... Who want to help do all of the above ....    food
I wish I could go to the beach today .... but alas i have to work ALL day ... sigh    travel
I found three canon lenses I like . The only problem is that I need about $1000 to buy them .    goods
I thank the Lord for the wonderful wife He gave me . I could not have asked for anyone any better .    non-intent
i think i have a new band to love . actually , i did love them already . specially the leader ! wiii ! but it's in Korea . haha ! aww .    trifle
I think Twilight Lexicon is great !!! Rachelle you will be missed greatly , but I know you will do other things in the future .    non-intent
I need a nap real bad .    trifle
I need more shampoo . blah    goods
I hate scary dreams . One of my friends was on a murderous rampage and I totally hit on the hot guys at my work in my dream    non-intent
I need a massage tonight .    goods
I need a trip planner to help me with my vacation in September to North Carolina , anyone ?    travel
I need to take another picture in purple to match my background    event
I slept like a baby , Or I was up all night ; Thought I was gonna die – No , I felt alright ; I can't make up my mind .    trifle
I think I'm going to try yoga again tomorrow ...    event
i wanna get so drunk that i can no longer stand on my own two feet >-<    event
I have to get a new laptop , my old Dell runs out of battery in 1 hour .....    goods
i wanna be happy .. woot ! woot !    trifle
I am going to Jonas Brothers concert yay .    event
I tend to live in the past because most of my life is there .    trifle
I know you want me to want you , I want to .    trifle
I think I need to travel to another state    travel
I should not be allowed to drink ever again after last night haha .    trifle
i want to see Transformers .....    event
I do what I want because I can    non-intent
I am ready to walk to station and guess what ? The sun is shining !! What a relief after yesterday    trifle
I am going to see Year One tonight    event
I may be eating pizza twice today . Is it too much of a good thing ?    food
I need to wash some clothes for tomorrow's golfing unless I want to wear trousers & a long sleeve shirt    trifle
I may have won the battle with the burrito last night but I surely haven't won the war .    non-intent
i try and cheat my way around technology . the bastard always wins .    non-intent
I havent slept in two days and i miss my babies !    trifle
